Scheme Name,Net Asset Value
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,109.4442
Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - MONTHLY IDCW,113.4461
Aditya Birla Sun Life Banking & PSU Debt Fund  - Direct - Quarterly IDCW,111.8592
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - IDCW,154.9883
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - MONTHLY IDCW,110.2729
Aditya Birla Sun Life Banking & PSU Debt Fund  - REGULAR - Quarterly IDCW,108.8375
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - monthly IDCW,110.133
Aditya Birla Sun Life Banking & PSU Debt Fund  - retail - quarterly IDCW,111.6056
Aditya Birla Sun Life Banking & PSU Debt Fund - Regular Plan-Growth,306.7765
Aditya Birla Sun Life Banking & PSU Debt Fund - Retail Plan-Growth,460.5109
Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth,315.8646
Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option,1532.8272
Axis Banking & PSU Debt Fund - Direct Plan - Daily IDCW,1038.0684
Axis Banking & PSU Debt Fund - Direct Plan - Growth Option,2266.3973
Axis Banking & PSU Debt Fund - Direct Plan - Monthly IDCW,1033.0661
Axis Banking & PSU Debt Fund - Direct Plan - Weekly IDCW,1037.2639
Axis Banking & PSU Debt Fund - Regular Plan - Bonus Option,1289.4075
Axis Banking & PSU Debt Fund - Regular Plan - Daily IDCW,1037.8943
Axis Banking & PSU Debt Fund - Regular Plan - Growth option,2212.4946
Axis Banking & PSU Debt Fund - Regular Plan - Monthly IDCW,1033.0494
Axis Banking & PSU Debt Fund - Regular Plan - Weekly IDCW,1037.0902
Baroda BNP Paribas Banking and PSU Bond Fund -Direct Plan-Monthly IDCW Option,10.0732
Baroda BNP Paribas Banking and PSU Bond Fund- Direct Plan -Growth Option,10.7055
Baroda BNP Paribas Banking and PSU Bond Fund-Direct plan-Quarterly IDCW Option,10.0990
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Growth Option,10.6085
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan -Monthly IDCW Option,10.0495
Baroda BNP Paribas Banking and PSU Bond Fund-Regular Plan-Quarterly IDCW Option,10.1573
Canara Robeco Banking and PSU Debt Fund- Direct Plan- Growth Option,10.2254
Canara Robeco Banking and PSU Debt Fund- Direct Plan- IDCW Payout,10.2252
Canara Robeco Banking and PSU Debt Fund- Regular Plan- Growth Option,10.2090
Canara Robeco Banking and PSU Debt Fund- Regular Plan- IDCW (Payout/ Reinvestment),10.2090
DSP Banking & PSU Debt Fund - Direct Plan - Growth,20.6151
DSP Banking & PSU Debt Fund - Direct Plan - IDCW,10.4979
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Daily Reinvest,10.1567
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Monthly,10.2181
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Quarterly ,10.2343
DSP Banking & PSU Debt Fund - Direct Plan - IDCW - Weekly,10.1590
DSP Banking & PSU Debt Fund - Regular Plan - Growth,20.0334
DSP Banking & PSU Debt Fund - Regular Plan - IDCW,10.4730
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Daily Reinvest,10.1553
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Monthly,10.2104
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Quarterly ,10.2295
DSP Banking & PSU Debt Fund - Regular Plan - IDCW - Weekly,10.1581
Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option,21.1112
Edelweiss Banking and PSU Debt Fund - Direct Plan - IDCW Option,18.0517
Edelweiss Banking and PSU Debt Fund - Direct Plan Fortnightly - IDCW Option,14.5627
Edelweiss Banking and PSU Debt Fund - Direct Plan Monthly - IDCW Option,10.9081
Edelweiss Banking and PSU Debt Fund - Direct Plan weekly - IDCW Option,10.5314
Edelweiss Banking and PSU Debt Fund - Regular Plan - Growth Option,20.5228
Edelweiss Banking and PSU Debt Fund - Regular Plan - IDCW Option,17.4755
Edelweiss Banking and PSU Debt Fund - Regular Plan Fortnightly - IDCW Option,14.1852
Edelweiss Banking and PSU Debt Fund - Regular Plan Monthly - IDCW Option,11.1501
Edelweiss Banking and PSU Debt Fund - Regular Plan Weekly - IDCW Option,10.1253
Franklin India Banking & PSU Debt Fund - Direct - Growth,19.4919
Franklin India Banking & PSU Debt Fund - Growth,18.8024
Franklin India Banking and PSU Debt Fund - Direct - IDCW ,10.7805
Franklin India Banking and PSU Debt Fund - IDCW ,10.2759
HDFC Banking and PSU Debt Fund - Growth Option,19.2452
HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan,19.8545
HDFC Banking and PSU Debt Fund - IDCW Option,10.1403
HDFC Banking and PSU Debt Fund - IDCW Option - Direct Plan,10.0305
HSBC Banking and PSU Debt Fund - Direct Daily IDCW,11.1702
HSBC Banking and PSU Debt Fund - Direct Growth,21.3027
HSBC Banking and PSU Debt Fund - Direct Monthly IDCW,11.2240
HSBC Banking and PSU Debt Fund - Direct Weekly IDCW,10.3263
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.0932
HSBC Banking and PSU Debt Fund - Regular Growth,20.4042
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.7048
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.2971
